id,seed,DeltaRandom,DDecrease,D_t,B,LT,LS,LF,LL,delta,lobjval,lz1,lz2,fobjval,tot_runtime,gapf,best_it,himprov,solved
IR_B10000_D3333_F3_L4_T_15_seed_3,3,False,False,3333,10000,15,3,3,4,0.7,5735.3,0.0,5735.3,645098.0,48.34,0.0,28,34.09,True
IR_B10000_D3333_F3_L4_T_15_seed_4,4,False,False,3333,10000,15,3,3,4,0.7,4776.39,0.0,4776.39,619628.0,27.71,0.0,22,0.0,True
IR_B3000_D1000_F3_L8_T_15_seed_0,0,False,False,1000,3000,15,3,3,8,0.7,1252.87,0.0,1252.87,175637.0,135.58,0.0,26,0.03,True
IR_B3000_D1000_F3_L8_T_15_seed_1,1,False,False,1000,3000,15,3,3,8,0.7,1294.68,0.0,1294.68,171439.0,54.74,0.0,19,0.0,True
IR_B3000_D1000_F3_L8_T_15_seed_2,2,False,False,1000,3000,15,3,3,8,0.7,1173.41,0.0,1173.41,196251.0,36.14,0.0,13,4.94,True
IR_B3000_D1000_F3_L8_T_15_seed_3,3,False,False,1000,3000,15,3,3,8,0.7,1141.99,0.0,1141.99,160848.0,75.01,0.0,17,0.0,True
IR_B3000_D1000_F3_L8_T_15_seed_4,4,False,False,1000,3000,15,3,3,8,0.7,1205.44,0.0,1205.44,187837.0,6.24,0.0,2,0.0,True
IR_B5000_D1666_F3_L8_T_15_seed_0,0,False,False,1666,5000,15,3,3,8,0.7,2256.8,0.0,2256.8,292739.0,108.31,0.0,23,0.03,True
IR_B5000_D1666_F3_L8_T_15_seed_1,1,False,False,1666,5000,15,3,3,8,0.7,1111.23,0.0,1111.23,285730.0,66.93,0.0,19,0.0,True
IR_B5000_D1666_F3_L8_T_15_seed_2,2,False,False,1666,5000,15,3,3,8,0.7,1687.14,0.0,1687.14,327051.0,54.09,0.0,17,0.36,True
IR_B5000_D1666_F3_L8_T_15_seed_3,3,False,False,1666,5000,15,3,3,8,0.7,1395.92,0.0,1395.92,268092.0,97.51,0.0,29,0.0,True
IR_B5000_D1666_F3_L8_T_15_seed_4,4,False,False,1666,5000,15,3,3,8,0.7,1747.69,0.0,1747.69,313078.0,59.4,0.0,10,0.06,True
IR_B7000_D2333_F3_L8_T_15_seed_0,0,False,False,2333,7000,15,3,3,8,0.7,1694.15,0.0,1694.15,409860.0,27.81,0.0,6,0.03,True
IR_B7000_D2333_F3_L8_T_15_seed_1,1,False,False,2333,7000,15,3,3,8,0.7,2664.02,0.0,2664.02,400045.0,90.71,0.0,27,0.0,True
IR_B7000_D2333_F3_L8_T_15_seed_2,2,False,False,2333,7000,15,3,3,8,0.7,2681.29,0.0,2681.29,457865.0,5.11,0.0,2,0.02,True
IR_B7000_D2333_F3_L8_T_15_seed_3,3,False,False,2333,7000,15,3,3,8,0.7,4734.54,0.0,4734.54,375328.0,90.62,0.0,23,0.0,True
IR_B7000_D2333_F3_L8_T_15_seed_4,4,False,False,2333,7000,15,3,3,8,0.7,2482.56,0.0,2482.56,438346.0,152.34,0.0,29,0.0,True
IR_B10000_D3333_F3_L8_T_15_seed_0,0,False,False,3333,10000,15,3,3,8,0.7,3124.26,0.0,3124.26,585554.0,103.07,0.0,25,0.03,True
IR_B10000_D3333_F3_L8_T_15_seed_1,1,False,False,3333,10000,15,3,3,8,0.7,1994.28,0.0,1994.28,571541.0,52.38,0.0,23,0.0,True
IR_B10000_D3333_F3_L8_T_15_seed_2,2,False,False,3333,10000,15,3,3,8,0.7,2904.84,0.0,2904.84,654161.0,78.11,0.0,24,0.24,True
IR_B10000_D3333_F3_L8_T_15_seed_3,3,False,False,3333,10000,15,3,3,8,0.7,4221.41,0.0,4221.41,536244.0,74.13,0.0,16,0.0,True
